City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
125,Sorong,ID,2022-07-16 15:30:59,-0.8833,131.25,78.71,82,100,4.52
126,Touros,BR,2022-07-16 15:30:59,-5.1989,-35.4608,82.56,69,46,17.43
127,Maloy,NO,2022-07-16 15:31:00,61.9353,5.1136,53.33,76,98,5.57
128,Basoko,CD,2022-07-16 15:31:00,1.2391,23.616,78.98,76,44,3.29
129,La Ronge,CA,2022-07-16 15:31:00,55.1001,-105.2842,68.25,68,75,18.41
130,Kavieng,PG,2022-07-16 15:31:01,-2.5744,150.7967,80.62,81,5,10.69
131,Vilyuysk,RU,2022-07-16 15:31:01,63.7553,121.6247,66.16,98,100,4.99
132,Aykhal,RU,2022-07-16 15:31:02,66.0,111.5,53.13,87,100,16.15
133,Sistranda,NO,2022-07-16 15:31:02,63.7256,8.834,51.76,79,100,22.3
134,Carnarvon,AU,2022-07-16 15:31:02,-24.8667,113.6333,68.27,50,77,7.14
135,San Patricio,US,2022-07-16 15:31:03,28.017,-97.5169,87.91,49,25,9.46
136,Yar-Sale,RU,2022-07-16 15:31:03,66.8333,70.8333,60.89,56,22,7.7
137,Tiarei,PF,2022-07-16 15:32:03,-17.5333,-149.3333,68.02,66,61,26.08
138,Hithadhoo,MV,2022-07-16 15:32:03,-0.6,73.0833,83.39,77,36,15.01
139,Manica,FR,2022-07-16 15:32:04,49.0,-1.1667,83.35,27,38,11.45
140,Pyaozerskiy,RU,2022-07-16 15:32:04,65.8333,31.1667,64.51,59,100,5.1
141,Bay Saint Louis,US,2022-07-16 15:32:04,30.3088,-89.33,89.02,79,75,3.44
142,Georgetown,MY,2022-07-16 15:27:54,5.4112,100.3354,83.95,85,20,0.0
143,Atuona,PF,2022-07-16 15:32:05,-9.8,-139.0333,76.41,78,24,13.18
144,Tuktoyaktuk,CA,2022-07-16 15:32:06,69.4541,-133.0374,55.4,67,75,12.66
145,Pombia,IT,2022-07-16 15:32:06,45.653,8.6336,96.19,37,0,8.05
146,Mtwara,TZ,2022-07-16 15:32:07,-10.2667,40.1833,73.67,69,23,16.44
147,Watertown,US,2022-07-16 15:30:36,42.3709,-71.1828,84.99,45,0,8.05
148,Talavera,PH,2022-07-16 15:32:07,15.6167,120.9333,76.96,95,100,2.26
149,Guebwiller,FR,2022-07-16 15:32:08,47.9167,7.2,84.43,28,0,8.99
150,Sorgun,TR,2022-07-16 15:32:08,39.8101,35.186,69.8,57,1,14.18
151,Avarua,CK,2022-07-16 15:32:08,-21.2078,-159.775,73.45,73,40,17.27
152,Saint-Georges,GD,2022-07-16 15:31:01,12.0564,-61.7485,85.68,74,40,20.71
153,Chunhuhub,MX,2022-07-16 15:32:09,19.55,-88.6833,89.85,45,65,3.94
154,Bela,IN,2022-07-16 15:32:09,25.9333,81.9833,100.44,33,56,15.41
155,Verkhnetulomskiy,RU,2022-07-16 15:32:09,68.6073,31.7962,60.93,94,100,4.03
156,Byron Bay,AU,2022-07-16 15:31:14,-28.65,153.6167,51.71,82,1,8.88
157,Chara,RU,2022-07-16 15:32:10,56.9064,118.2631,63.68,89,89,1.3
158,Buala,SB,2022-07-16 15:32:10,-8.145,159.5921,79.0,83,90,10.0
159,Vao,NC,2022-07-16 15:32:10,-22.6667,167.4833,68.5,58,0,23.94
160,Indramayu,ID,2022-07-16 15:32:11,-6.3264,108.32,81.0,76,100,10.54
161,Necochea,AR,2022-07-16 15:32:11,-38.5473,-58.7368,47.64,75,100,25.1
162,Iranshahr,IR,2022-07-16 15:32:11,27.2025,60.6848,100.74,18,0,0.0
163,Saint-Michel-Des-Saints,CA,2022-07-16 15:32:12,46.6834,-73.9159,79.93,37,33,10.69
